ID	numPRDM9BoundPeaks
COAD_TCGA-QL-A97D-01A	45998
COAD_TCGA-SS-A7HO-01A	46992
ESCA_TCGA-IC-A6RE-01A	41137
ESCA_TCGA-IG-A3YA-01A	43187
ESCA_TCGA-IG-A4P3-01A	36242
ESCA_TCGA-IG-A4QS-01A	41028
ESCA_TCGA-IG-A51D-01A	46285
ESCA_TCGA-IG-A625-01A	42607
ESCA_TCGA-IG-A7DP-01A	37408
ESCA_TCGA-L5-A4OE-01A	40885
ESCA_TCGA-L7-A6VZ-01A	43082
ESCA_TCGA-LN-A49O-01A	39541
ESCA_TCGA-LN-A49W-01A	44312
ESCA_TCGA-LN-A4A2-01A	45906
ESCA_TCGA-LN-A4A5-01A	43566
ESCA_TCGA-LN-A4MR-01A	45110
ESCA_TCGA-LN-A7HX-01A	46725
ESCA_TCGA-LN-A8HZ-01A	37994
ESCA_TCGA-LN-A9FQ-01A	44771
ESCA_TCGA-M9-A5M8-01A	43405
GBMx_TCGA-06-A5U0-01A	33616
GBMx_TCGA-06-A6S1-01A	35066
GBMx_TCGA-06-A7TK-01A	35899
GBMx_TCGA-06-A7TL-01A	34681
GBMx_TCGA-4W-AA9S-01A	34618
GBMx_TCGA-76-6656-01A	33431
GBMx_TCGA-81-5910-01A	34350
GBMx_TCGA-OX-A56R-01A	35541
GBMx_TCGA-RR-A6KB-01A	35623
HNSC_TCGA-BA-A4IH-01A	37744
HNSC_TCGA-BA-A8YP-01A	36775
HNSC_TCGA-CN-A49B-01A	30954
HNSC_TCGA-CV-A468-01A	35480
HNSC_TCGA-D6-A6EP-01A	35574
HNSC_TCGA-F7-A624-01A	33110
HNSC_TCGA-H7-A76A-01A	36018
HNSC_TCGA-KU-A66S-01A	36769
HNSC_TCGA-KU-A6H7-06A	33474
KIRC_TCGA-3Z-A93Z-01A	38927
KIRC_TCGA-6D-AA2E-01A	41010
KIRC_TCGA-B2-A4SR-01A	40964
KIRC_TCGA-B8-A54E-01A	39182
KIRC_TCGA-B8-A54F-01A	40572
KIRC_TCGA-B8-A54G-01A	39228
KIRC_TCGA-B8-A54H-01A	38571
KIRC_TCGA-B8-A54J-01A	40208
KIRC_TCGA-B8-A54K-01A	39241
KIRC_TCGA-B8-A8YJ-01A	40150
KIRC_TCGA-CJ-5671-01A	41574
KIRC_TCGA-CJ-5677-01A	42679
KIRC_TCGA-CJ-5679-01A	39770
KIRC_TCGA-DV-A4VX-01A	39037
